Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
I have interacted with grad students while doing research,38,59,26,61,39,3
Not I have interacted with grad students while doing research,74,178,93,222,179,31
