Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Grad students have been mentors (formal or informal) to me,104,65,12,24,41
Not Grad students have been mentors (formal or informal) to me,261,254,43,71,125
