Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Grad students have been mentors (formal or informal) to me,14,88,71,57,14
Not Grad students have been mentors (formal or informal) to me,50,264,263,162,20
