Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Grad students have been mentors (formal or informal) to me,89,44,32,24,56
Not Grad students have been mentors (formal or informal) to me,206,223,58,79,193
