Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
Grad students have been mentors (formal or informal) to me,2,5,10,22,85,43,79
Not Grad students have been mentors (formal or informal) to me,9,11,41,103,292,98,204
