Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Grad students have been mentors (formal or informal) to me,5,31,35,91,58,26
Not Grad students have been mentors (formal or informal) to me,22,116,102,280,160,80
