Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
I have had grad students as teaching assistants,8,9,38,99,301,112,238
Not I have had grad students as teaching assistants,3,7,13,26,76,29,45
