Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Grad students have been mentors (formal or informal) to me,0,11,15,71,143,4
Not Grad students have been mentors (formal or informal) to me,9,45,50,205,416,26
