Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
I have taken a course taught by a grad student,38,88,38,102,79,13
Not I have taken a course taught by a grad student,74,149,81,181,139,21
