Option,Very positive,Somewhat positive,Neutral,Somewhat negative,Very negative,I have not interacted with grad students
Grad students have been mentors (formal or informal) to me,155,79,10,1,0,1
Not Grad students have been mentors (formal or informal) to me,257,251,173,15,4,54
