Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
I have interacted with grad students while doing research,2,4,15,29,86,34,56
Not I have interacted with grad students while doing research,9,12,36,96,291,107,227
