Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
Grad students have been mentors (formal or informal) to me,36,64,26,67,47,5
Not Grad students have been mentors (formal or informal) to me,76,173,93,216,171,29
