Option,Humanities/arts,Not Humanities/arts
"Yes, and I am or plan to",29,304
"Yes, but I am not or do not plan to",144,91
"Yes, but I am not sure if I will",24,55
"No, and I am not sure if I will",21,28
"No, but I am or plan to",17,100
"No, and for that reason, I am not or do not plan to",36,24
"No, and I would not have wanted to even if I felt more prepared",64,35
