Option,None of the above,Not None of the above
"Yes, and I am or plan to",31,313
"Yes, but I am not or do not plan to",11,229
"Yes, but I am not sure if I will",4,82
"No, and I am not sure if I will",2,50
"No, but I am or plan to",7,114
"No, and for that reason, I am not or do not plan to",9,55
"No, and I would not have wanted to even if I felt more prepared",11,90
