Option,My own income and savings,Not My own income and savings
"Yes, and I am or plan to",119,225
"Yes, but I am not or do not plan to",94,146
"Yes, but I am not sure if I will",32,54
"No, and I am not sure if I will",21,31
"No, but I am or plan to",67,54
"No, and for that reason, I am not or do not plan to",29,35
"No, and I would not have wanted to even if I felt more prepared",45,56
