Option,Life sciences,Not Life sciences
"Yes, and I am or plan to",126,207
"Yes, but I am not or do not plan to",7,228
"Yes, but I am not sure if I will",15,64
"No, and I am not sure if I will",6,43
"No, but I am or plan to",49,68
"No, and for that reason, I am not or do not plan to",0,60
"No, and I would not have wanted to even if I felt more prepared",2,97
