Option,Male,Female,Other
"Yes, and I am or plan to",182,160,3
"Yes, but I am not or do not plan to",104,134,0
"Yes, but I am not sure if I will",46,40,0
"No, and I am not sure if I will",20,31,1
"No, but I am or plan to",52,68,1
"No, and for that reason, I am not or do not plan to",30,34,0
"No, and I would not have wanted to even if I felt more prepared",30,69,2
