Option,Heterosexual,Homosexual,Bisexual,Other
"Yes, and I am or plan to",308,14,13,6
"Yes, but I am not or do not plan to",194,28,7,10
"Yes, but I am not sure if I will",70,7,4,3
"No, and I am not sure if I will",45,4,1,2
"No, but I am or plan to",108,5,4,2
"No, and for that reason, I am not or do not plan to",50,9,3,1
"No, and I would not have wanted to even if I felt more prepared",83,7,6,6
