Option,My parents borrow money from outside sources,Not My parents borrow money from outside sources
"Yes, and I am or plan to",14,330
"Yes, but I am not or do not plan to",12,228
"Yes, but I am not sure if I will",5,81
"No, and I am not sure if I will",4,48
"No, but I am or plan to",10,111
"No, and for that reason, I am not or do not plan to",3,61
"No, and I would not have wanted to even if I felt more prepared",9,92
