Option,Yes,No
"Yes, and I am or plan to",38,305
"Yes, but I am not or do not plan to",22,215
"Yes, but I am not sure if I will",14,70
"No, and I am not sure if I will",6,45
"No, but I am or plan to",17,103
"No, and for that reason, I am not or do not plan to",13,50
"No, and I would not have wanted to even if I felt more prepared",14,88
