Option,Non-University grants and scholarships,Not Non-University grants and scholarships
"Yes, and I am or plan to",67,277
"Yes, but I am not or do not plan to",61,179
"Yes, but I am not sure if I will",19,67
"No, and I am not sure if I will",17,35
"No, but I am or plan to",29,92
"No, and for that reason, I am not or do not plan to",14,50
"No, and I would not have wanted to even if I felt more prepared",32,69
