Option,Other,Not Other
"Yes, and I am or plan to",8,337
"Yes, but I am not or do not plan to",9,229
"Yes, but I am not sure if I will",5,80
"No, and I am not sure if I will",4,48
"No, but I am or plan to",12,109
"No, and for that reason, I am not or do not plan to",8,54
"No, and I would not have wanted to even if I felt more prepared",3,99
