Option,Non-parental relatives' and friends' contributions,Not Non-parental relatives' and friends' contributions
"Yes, and I am or plan to",34,310
"Yes, but I am not or do not plan to",45,195
"Yes, but I am not sure if I will",9,77
"No, and I am not sure if I will",8,44
"No, but I am or plan to",16,105
"No, and for that reason, I am not or do not plan to",7,57
"No, and I would not have wanted to even if I felt more prepared",11,90
