Option,A significant role,A moderate role,A small role,No role,No opinion
"Yes, and I am or plan to",16,156,127,38,7
"Yes, but I am not or do not plan to",9,93,98,30,9
"Yes, but I am not sure if I will",10,32,32,10,1
"No, and I am not sure if I will",2,20,24,5,0
"No, but I am or plan to",7,49,52,12,0
"No, and for that reason, I am not or do not plan to",3,24,24,13,0
"No, and I would not have wanted to even if I felt more prepared",2,37,46,15,1
