Option,Asian,Not Asian
"Yes, and I am or plan to",111,234
"Yes, but I am not or do not plan to",48,190
"Yes, but I am not sure if I will",32,53
"No, and I am not sure if I will",15,37
"No, but I am or plan to",32,89
"No, and for that reason, I am not or do not plan to",9,53
"No, and I would not have wanted to even if I felt more prepared",15,87
