Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
"Yes, and I am or plan to",98,148,53,43
"Yes, but I am not or do not plan to",66,124,35,14
"Yes, but I am not sure if I will",16,42,19,9
"No, and I am not sure if I will",12,24,11,5
"No, but I am or plan to",44,50,17,10
"No, and for that reason, I am not or do not plan to",13,35,8,6
"No, and I would not have wanted to even if I felt more prepared",29,49,10,13
