Option,Hispanic,Not Hispanic
"Yes, and I am or plan to",17,328
"Yes, but I am not or do not plan to",14,224
"Yes, but I am not sure if I will",5,80
"No, and I am not sure if I will",10,42
"No, but I am or plan to",24,97
"No, and for that reason, I am not or do not plan to",11,51
"No, and I would not have wanted to even if I felt more prepared",12,90
