Option,None of the above,Not None of the above
"Yes, and I am or plan to",300,38
"Yes, but I am not or do not plan to",196,38
"Yes, but I am not sure if I will",77,9
"No, and I am not sure if I will",41,10
"No, but I am or plan to",102,16
"No, and for that reason, I am not or do not plan to",53,9
"No, and I would not have wanted to even if I felt more prepared",88,10
