Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
"Yes, and I am or plan to",34,50,26,38,6,8,12,31,69,61
"Yes, but I am not or do not plan to",27,29,12,33,1,6,3,23,49,51
"Yes, but I am not sure if I will",6,17,2,6,0,1,6,11,13,20
"No, and I am not sure if I will",5,11,3,3,1,0,1,8,8,10
"No, but I am or plan to",19,26,7,10,3,1,1,13,22,11
"No, and for that reason, I am not or do not plan to",11,8,7,6,0,0,0,9,9,11
"No, and I would not have wanted to even if I felt more prepared",12,13,7,15,1,0,2,15,14,21
