Option,Social sciences,Not Social sciences
"Yes, and I am or plan to",31,302
"Yes, but I am not or do not plan to",115,120
"Yes, but I am not sure if I will",38,41
"No, and I am not sure if I will",26,23
"No, but I am or plan to",17,100
"No, and for that reason, I am not or do not plan to",33,27
"No, and I would not have wanted to even if I felt more prepared",45,54
