Option,White,Not White
"Yes, and I am or plan to",210,135
"Yes, but I am not or do not plan to",174,64
"Yes, but I am not sure if I will",46,39
"No, and I am not sure if I will",20,32
"No, but I am or plan to",59,62
"No, and for that reason, I am not or do not plan to",38,24
"No, and I would not have wanted to even if I felt more prepared",69,33
