Option,University grants and scholarships,Not University grants and scholarships
"Yes, and I am or plan to",171,173
"Yes, but I am not or do not plan to",115,125
"Yes, but I am not sure if I will",39,47
"No, and I am not sure if I will",31,21
"No, but I am or plan to",83,38
"No, and for that reason, I am not or do not plan to",42,22
"No, and I would not have wanted to even if I felt more prepared",48,53
