Option,I borrow money from outside sources,Not I borrow money from outside sources
"Yes, and I am or plan to",10,334
"Yes, but I am not or do not plan to",4,236
"Yes, but I am not sure if I will",1,85
"No, and I am not sure if I will",2,50
"No, but I am or plan to",9,112
"No, and for that reason, I am not or do not plan to",2,62
"No, and I would not have wanted to even if I felt more prepared",4,97
