Option,American Indian/Alaska Native,Not American Indian/Alaska Native
"Yes, and I am or plan to",3,342
"Yes, but I am not or do not plan to",1,237
"Yes, but I am not sure if I will",0,85
"No, and I am not sure if I will",3,49
"No, but I am or plan to",2,119
"No, and for that reason, I am not or do not plan to",3,59
"No, and I would not have wanted to even if I felt more prepared",3,99
