Option,Federal loans,Not Federal loans
"Yes, and I am or plan to",88,256
"Yes, but I am not or do not plan to",63,177
"Yes, but I am not sure if I will",16,70
"No, and I am not sure if I will",14,38
"No, but I am or plan to",51,70
"No, and for that reason, I am not or do not plan to",25,39
"No, and I would not have wanted to even if I felt more prepared",29,72
