Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
None,189,172,25,43,88
Just loans,15,18,4,6,9
Grants and loans,85,52,10,15,28
"Grants, covering some costs",45,44,9,23,25
"Grants, covering all costs",30,34,7,9,16
