Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
None,507,0,0,0,0
Just loans,0,48,0,0,0
Grants and loans,0,0,196,0,0
"Grants, covering some costs",0,0,0,177,0
"Grants, covering all costs",0,0,0,0,86
