Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
None,109,156,106,43,25,63
Just loans,14,14,10,2,4,4
Grants and loans,43,63,33,16,10,30
"Grants, covering some costs",36,56,34,15,10,25
"Grants, covering all costs",18,18,23,9,7,11
