Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
None,155,195,43,98,28
Just loans,17,25,4,7,1
Grants and loans,60,70,16,38,7
"Grants, covering some costs",37,56,14,35,5
"Grants, covering all costs",26,44,11,9,7
