Option,Heterosexual,Homosexual,Bisexual,Other
None,449,29,17,10
Just loans,39,5,1,2
Grants and loans,160,16,9,8
"Grants, covering some costs",150,11,6,8
"Grants, covering all costs",65,13,5,0
