Option,Protestant,Catholic,Other Christian,Jewish,Muslim,Hindu,Buddhist,Other religion,Agnostic,Atheist
None,47,50,22,81,5,14,12,53,86,115
Just loans,2,5,4,10,1,2,2,4,15,3
Grants and loans,26,40,15,10,2,0,1,23,44,27
"Grants, covering some costs",22,34,16,8,2,1,9,19,34,29
"Grants, covering all costs",17,23,7,2,3,0,1,11,8,11
