Option,A significant role,A moderate role,A small role,No role,No opinion
None,27,200,206,57,14
Just loans,2,25,19,1,1
Grants and loans,4,94,71,23,2
"Grants, covering some costs",7,60,80,28,1
"Grants, covering all costs",7,36,27,14,1
