Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
None,6,26,35,139,292,17
Just loans,0,0,4,15,35,0
Grants and loans,2,14,14,57,97,4
"Grants, covering some costs",1,5,10,49,76,5
"Grants, covering all costs",0,11,3,19,59,4
