Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,I do not know what UCS is
None,28,121,274,30,7,43
Just loans,2,11,33,2,0,0
Grants and loans,16,40,109,13,6,10
"Grants, covering some costs",11,36,109,13,4,4
"Grants, covering all costs",8,19,42,7,4,5
