Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
None,18,89,78,189,98,49
Just loans,0,7,9,20,15,3
Grants and loans,6,29,25,69,41,21
"Grants, covering some costs",2,14,18,58,40,15
"Grants, covering all costs",1,8,9,37,23,19
