Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
None,41,186,177,99,17
Just loans,1,24,13,13,2
Grants and loans,13,59,62,49,8
"Grants, covering some costs",7,57,49,30,3
"Grants, covering all costs",3,27,36,27,4
