Option,"Yes, I support converting all bathrooms","Yes, I support converting some bathrooms","No, I do not support converting any bathrooms",Don't know
None,127,234,81,60
Just loans,11,24,7,5
Grants and loans,56,89,22,26
"Grants, covering some costs",54,82,32,8
"Grants, covering all costs",32,40,11,3
