Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove,Not familiar enough to answer
None,44,125,62,160,115,11
Just loans,8,10,3,18,12,3
Grants and loans,22,44,25,50,42,8
"Grants, covering some costs",23,32,17,37,30,7
"Grants, covering all costs",15,25,13,19,20,5
