Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
None,49,157,259,32,7
Just loans,4,13,28,2,0
Grants and loans,22,59,96,16,3
"Grants, covering some costs",24,58,72,19,3
"Grants, covering all costs",13,35,30,7,0
