Option,Very positive,Somewhat positive,Neutral,Somewhat negative,Very negative,I have not interacted with grad students
None,206,176,98,9,4,27
Just loans,23,19,9,0,0,3
Grants and loans,91,52,31,3,0,11
"Grants, covering some costs",57,51,25,1,0,10
"Grants, covering all costs",37,33,20,3,0,4
