Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
None,149,171,33,49,118
Just loans,14,11,6,4,19
Grants and loans,59,46,16,18,52
"Grants, covering some costs",39,29,18,26,34
"Grants, covering all costs",33,12,17,7,27
