Option,Very comfortable,Somewhat comfortable,No opinion,Somewhat uncomfortable,Very uncomfortable
Yes,126,146,30,53,11
"No, they were too harsh",86,118,19,73,23
"No, they were too lenient",18,21,3,9,4
No opinion,22,36,13,22,3
Not familiar enough to answer,42,67,22,29,6
