Option,First-year,Sophomore,Junior,Senior
Yes,73,87,82,124
"No, they were too harsh",67,95,91,66
"No, they were too lenient",17,9,13,16
No opinion,18,26,22,30
Not familiar enough to answer,57,44,30,35
