Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Yes,4,15,20,89,231,5
"No, they were too harsh",4,24,31,93,156,8
"No, they were too lenient",1,1,3,9,40,1
No opinion,0,9,4,25,48,7
Not familiar enough to answer,0,7,8,60,81,9
