Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Yes,366,0,0,0,0
"No, they were too harsh",0,321,0,0,0
"No, they were too lenient",0,0,55,0,0
No opinion,0,0,0,96,0
Not familiar enough to answer,0,0,0,0,166
