Option,Grad students have been mentors (formal or informal) to me,Not Grad students have been mentors (formal or informal) to me
Yes,104,261
"No, they were too harsh",65,254
"No, they were too lenient",12,43
No opinion,24,71
Not familiar enough to answer,41,125
