Option,None,Just loans,Grants and loans,"Grants, covering some costs","Grants, covering all costs"
Yes,189,15,85,45,30
"No, they were too harsh",172,18,52,44,34
"No, they were too lenient",25,4,10,9,7
No opinion,43,6,15,23,9
Not familiar enough to answer,88,9,28,25,16
