Option,Strongly approve,Somewhat approve,No opinion,Somewhat disapprove,Strongly disapprove
Yes,30,134,114,79,9
"No, they were too harsh",11,113,93,80,22
"No, they were too lenient",2,14,17,20,2
No opinion,11,31,34,19,1
Not familiar enough to answer,10,59,79,17,0
