Option,"No, I do not feel inadequate relative to other Brown students","Not No, I do not feel inadequate relative to other Brown students"
Yes,163,198
"No, they were too harsh",151,167
"No, they were too lenient",14,41
No opinion,41,53
Not familiar enough to answer,60,105
