Option,Hetero,Gay,Bisexual,Other
Yes,291,25,23,21
"No, they were too harsh",290,14,7,7
"No, they were too lenient",38,4,6,5
No opinion,83,6,2,3
Not familiar enough to answer,144,7,7,7
