Option,'50 minutes','40 minutes','30 minutes','20 minutes','10 minutes','0 minutes',I do not use my laptop in class
Yes,2,2,19,39,138,58,108
"No, they were too harsh",6,5,23,50,120,35,80
"No, they were too lenient",0,2,2,3,16,11,21
No opinion,1,1,4,14,43,10,23
Not familiar enough to answer,2,6,3,19,60,25,51
