Option,Very conservative,Somewhat cons,Centrist,Somewhat liberal,Very lib,No opinion
Yes,9,52,50,144,92,19
"No, they were too harsh",13,56,48,107,60,37
"No, they were too lenient",1,4,6,24,15,5
No opinion,1,15,18,33,17,12
Not familiar enough to answer,3,20,16,60,33,34
