Option,Yes,"No, they were too harsh","No, they were too lenient",No opinion,Not familiar enough to answer
Yes,213,50,29,19,55
"No, they were too harsh",47,172,31,23,47
"No, they were too lenient",17,4,21,2,11
No opinion,7,21,3,53,12
Not familiar enough to answer,8,22,5,7,123
