Option,Strongly agree,Somewhat agree,No opinion,Somewhat disagree,Strongly disagree,Not familiar enough to answer
Protestant,12,30,28,10,9,24
Catholic,25,44,37,16,12,21
Other Christian,5,22,19,7,4,8
Jewish,34,32,21,9,2,13
Muslim,3,4,1,2,1,2
Hindu,4,5,3,2,0,1
Buddhist,2,8,10,0,5,0
Other religion,26,38,22,12,3,10
Agnostic,60,49,30,11,10,26
Atheist,43,66,31,13,9,24
